EN,RUS,TH,TH 2244/2828 (79.35%)
"Let's keep that a secret between us, alright?","Давай сохраним это между нами в секрете, хорошо?",เก็บไว้เป็นความลับระหว่างเรานะ เข้าใจมั้ย?,
And remember...,И помни...,แล้วก็จำไว้ว่า...,
Your choice is much more important than you think.,"Твой выбор гораздо более важен, чем ты думаешь.",สิ่งที่เลือกมันสำคัญกับเธอมากกว่าที่คิด,
Because he’s a stone. Get it?,"Потому что он стоун, камень. Понял?",เพราะมันเป็นก้อนหินไง เข้าใจมั้ย?,
I like to move my body. Mm-hm.,Я люблю двигать телом. Мм-хм.,หนูชอบเต้นล่ะ,
It’s the music that goes on forever.,Эта музыка звучит вечно.,มันเป็นเพลงที่เล่นไปเรื่อยๆ ตลอดกาล,
"Look, I drew this picture.","Смотри, я нарисовала рисунок.",ดูสิ หนูวาดรูปนี้เอง,
I call him Benjamin.,Я зову его Бенджамин.,หนูเรียกเขาว่าเบนจามิน,
He's a really cute fox...,Он очень милый лис...,เขาเป็นจิ้งจอกที่น่ารักจริงๆ...,
"Ugh, I don't care much for foxes.","Фу, меня мало интересуют лисы.",เอ่อ ฉันไม่ค่อยสนใจพวกจิ้งจอกเท่าไหร่,
It's the fox I see outside my window sometimes.,Иногда я вижу этого лиса за окном.,มันคือจิ้งจอกที่หนูเห็นนอกหน้าต่างในบางครั้ง,
"Look, I made these paper dolls myself.","Смотри, я сама сделала эти бумажные куклы.",ดูสิ หนูทำตุ๊กตากระดาษพวกนี้เองแหละ,
This is Kimberley and this is Steven.,"Это Кимберли, а это Стивен.",นี่คือคิมเบอร์ลี่ และนี่ก็สตีเว่น,
"They are on a trip, fighting super evils.",Они путешествуют и сражаются с суперзлодеями.,พวกเขากำลังเดินทางไปสู้กับสุดยอดวายร้าย,
My glitter.,Мои блёстки.,กากเพชรของฉัน,
I saw a monster in here once...,Однажды я видела здесь монстра...,หนูเคยเห็นปีศาจในนี้ครั้งนึง...,
I showed it the finger and it never came back.,"Я показала ему палец, и он больше никогда не возвращался.",หนูชูนิ้วใส่มัน แล้วก็ไม่เห็นมันกลับมาอีกเลย,
This is Misfortune.,Это Неудача.,นี่คือยัยตัวซวย,
"I can hear you, you know...","Знаешь, я тебя слышу...",หนูได้ยินนะ...,
"Oh, you can...?","Оу, ты слышишь...?",โอ้ ได้ยินเหรอ...?,
"Wonderful, fantastic!","Замечательно, потрясающе!",ยอดเยี่ยม น่าทึ่งจริงๆ !,
She's a wonderful child from a not so wonderful family.,Она замечательный ребёнок из не очень замечательной семьи.,เธอเป็นเด็กที่ยอดเยี่ยม จากครอบครัวที่ไม่ค่อยเยี่ยมยอดนัก,
Hmm... Well...,Хмм... Ну...,อืม... ก็...,
Yes!,Да!,ค่ะ!,
Die? No! Nobody said anything about anyone dying today.,"Умрёшь? Нет! Никто не говорил, что сегодня кто-то умрёт.",ตาย? เปล่า! ไม่มีใครพูดว่าจะมีใครตายในวันนี้ซักหน่อย,
Mm-hm. Are you inside my head or something?,Мм-хм. Ты в моей голове или что?,อือฮึ คุณอยู่ในหัวหนูหรืออะไรซักอย่างใช่มั้ย?,
"Alright, I'll call you Mr. Voice.","Хорошо, я буду звать тебя Мистер Голос.",เอาล่ะ งั้นหนูจะเรียกคุณว่าคุณวอยซ์ละกัน,
"You know, I have prepared a game for you.","Знаешь, я приготовил для тебя игру.",รู้ไหม ฉันได้เตรียมเกมไว้ให้เธอด้วย,
*mumbles*,*бормочет*,*พึมพำ*,
Aww...,Ооу...,งู้ยย...,
A game? Really? For me?,Игру? Правда? Для меня?,เกม? จริงเหรอ? ให้หนูเหรอ?,
"A little sparkle for you, and a little sparkle for you, and a little bit for me!","Немного блёсток для вас, немного блёсток для тебя, и немного - для меня!",เอาความวิบวับไปอีกนิด เอาความวิบวับไปอีกหน่อย และอีกเล็กน้อยก็ให้ฉัน!,
The sad part is...,"Печально то, что...",ที่น่าเศร้าก็คือ...,
Today is the day she will die.,"Сегодня день, когда она умрет.",วันนี้เป็นวันที่เธอจะตาย,
Ready to play?,Готова сыграть?,พร้อมจะเล่นหรือยัง?,
Eternal Happiness?,Вечное Счастье?,ความสุขนิรันดร์?,
Ok. I'm gonna do it.,Хорошо. Я сделаю это.,ได้เลยค่ะ จัดไป,
"Ok, yes!","Ну хорошо, да!",โอเค ได้!,
What did you say about me dying today?,"Что ты там говорил про то, что я сегодня умру?",คุณพูดว่าหนูจะตายวันนี้งั้นเหรอ?,
Huh? Nobody said nothing?,Правда? Никто ничего не говорил?,หือ? ไม่มีใครพูดอะไรเลยนี่?,
"If you can reach the end of the game, I'll give you Eternal Happiness...","Если ты сможешь дойти до конца игры, я дарую тебе Вечное Счастье...",ถ้าเธอสามารถไปถึงตอนจบของเกมได้ ฉันจะมอบความสุขนิรันดร์ให้เธอ...,
Deal?,По рукам?,ตกลงไหม?,
I guess I could give that to my Mommy...,"Пожалуй, я могла бы отдать его своей маме...",หนูว่าน่าจะเอาความสุขไปแบ่งให้คุณแม่ได้นะ...,
"Ok, it's a deal!","Хорошо, по рукам!",โอเคค่ะ หนูตกลง!,
Your first mission is to leave the house.,Твое первое задание - покинуть дом.,ภารกิจแรกของเธอ คือการออกจากบ้าน,
Which toy to bring with you?,Какую игрушку взять с собой?,เธอจะเอาของเล่นอะไรติดตัวไปดีล่ะ?,
FOX,FOX,จิ้งจอก,
Unicorn,Единорог,ยูนิคอร์น,
Stone,Камень,ก้อนหิน,
Paper dolls,,ตุ๊กตากระดาษ,
Pick up bottle of glitter,,เก็บขวดกากเพชร,
Poster of Benjamin,,โปสเตอร์เบนจามิน,
Foxy,,จิ้งจอกฟ็อกซี่,
Secret spot,,ที่ซ่อนลับ,
Cassette Player OFF,,เครื่องเล่นเทป ปิด,
Door,,ประตู,
Wardrobe,,ตู้เสื้อผ้า,
Cassette Player,Cassette Player,เครื่องเล่นเทป,
MORGO,,มอร์โก,
"This is Bubsy, “The Guardian of the Secret Spot”.","Это Бабси, ”Страж Тайного Места”.",นี่คือบับซี่ “ผู้พิทักษ์แห่งที่ซ่อนลับ”,
You see his eye? He got that from a battle against a monster.,"Видишь его глаз? Он получил это, сражаясь с монстром.",เห็นตาเขามั้ย? มันเกิดจากการต่อสู้กับสัตว์ประหลาด,
A monster? That sounds scary!,Монстром? Звучит страшно!,สัตว์ประหลาด? ฟังดูน่ากลัวจัง!,
It was.,Так и было.,ใช่แล้ว,
This is my diary. Nobody is allowed to read it. Want to see?,Это мой дневник. Никому нельзя его читать. Хочешь посмотреть?,นี่คือไดอารี่ของหนู หนูไม่เคยให้ใครอ่าน อยากเห็นมั้ย?,
"Look, this is my secret hiding spot!","Смотри, это моё тайное убежище!",ดูสิ นี่เป็นที่ซ่อนลับของหนู,
Oh! Impressive! But why do you need a hiding spot?,Впечатляет! Но зачем тебе тайное убежище?,โอ้! น่าประทับใจ! แต่ทำไมเธอถึงต้องมีที่ซ่อนลับล่ะ?,
I don’t like it when Mommy and Daddy argue too much…,"Мне не нравится, когда мама с папой сильно ругаются...",หนูไม่ชอบตอนที่พ่อกับแม่ทะเลาะกัน...,
"And when I come here, I can dream and travel far away.","Поэтому я прихожу сюда, и мечтаю о дальних-предальних странствиях.",และพอหนูมาอยู่ที่นี่ หนูจะได้ฝันถึงการเดินทางอันแสนไกล,
I see...,Ясно...,อย่างงี้เอง...,
*nervous laugh*,*нервный смешок*,*หัวเราะกลบเกลื่อน*,
I'm so cute.,Я такая милашка.,หนูน่ารักจัง,
"That's Hiro, my Japanese friend.","Это Хиро, мой японский друг.",นั่นฮิโระ เพื่อนคนญี่ปุ่นของฉันเอง,
Benjamin...,Бенджамин...,เบนจามิน,
Uh... That fox.,Ох... Этот лис.,เหอะ... จิ้งจอกนั่น,
Yes.,Да.,ช่าย,
Hmph... Yikes forever...,Хмм... Да уж...,ฮึ่ม... ยี้ตลอดกาล...,
The puke of love... That's what it is.\x0D,Рвота любви... Вот что это.\x0A,อุแหวะแห่งรัก... ยังไงล่ะ\x0D,
I don't like it when Daddy hits Mommy.,"Мне не нравится, когда папа бьёт маму.",หนูไม่ชอบเลยตอนที่พ่อตบตีแม่,
Glitter. I love my glitter.,Блёстки. Мне нравятся мои блёстки.,กากเพชร หนูชอบกากเพชรของหนู,
"I made a real nice drawing there, you see?","Я нарисовала красивый рисунок, видишь?",หนูวาดรูปตรงนี้ซะสวยเลย เห็นมั้ย?,
"Yes, very nice!","Да, очень мило!",เห็นจ๊ะ สวยมาก!,
I did the coloring too.,Я его ещё и раскрасила.,หนูลงสีเองด้วยเหมือนกัน,
Impressive!,Потрясающе!,เก่งจังเลย!,
I peed in the lake. It was really warm.,Я пописала в озеро. Стало очень тепло.,หนูเคยฉี่ในทะเลสาบ มันอุ่นมากเลย,
"Huh, look at that picture. I was such a baby.","Ха, взгляни на это фото. Я была таким ребёнком",เห ดูรูปนั้นสิ หนูยังเป็นเด็กน้อยอยู่เลย,
Very cute.,Очень мило.,น่ารักดีนะ,
Now I'm a such a lady.,Теперь я такая леди.,ตอนนี้หนูเป็นสาวแล้ว,
"I'm a little lady, that's what I am.","Я - маленькая леди, вот кто я.",หนูเป็นสาวน้อยแล้วนะ หนูโตแล้วแหละ,
He's a ghost.,Он - призрак.,เขาเป็นผี,
Did you draw all this?,Это все ты нарисовала?,เธอวาดเองทั้งหมดเลยเหรอ?,
Uh-huh.,Ага.,อือฮึ,
I love my coloring book.,Я люблю свою раскраску.,หนูชอบสมุดระบายสีมาก,
[localvar:3],[localvar:3],[localvar:3],
"I'm gonna take it with me if I get bored, ok?","Я возьму её, на случай если мне станет скучно, хорошо?",หนูจะเอาไปด้วยเผื่อตอนที่หนูเบื่อๆ ได้มั้ย?,
"Nah. I'll just leave it here. For Bubsy, you know? The teddy.","Не, оставлю её здесь. Для Бабси, ну ты понимаешь? Медвежонка.",ไม่ล่ะ หนูทิ้งเอาไว้ที่นี่ดีกว่า ไว้ให้บับซี่ จำได้มั้ย? ตุ๊กตาหมีน่ะ,
What to do with the coloring book?,Как поступить с раскраской?,ทำอย่างไรกับสมุดระบายสีเล่มนี้ดี?,
I like to play a lot with my toys. I like to talk to them because it's fun.,"Я очень люблю играть со своими игрушками. Мне нравится с ними разговаривать, потому что это весело. ",ฉันชอบเล่นกับของเล่นของฉันมาก ฉันชอบคุยกับพวกเขาเพราะมันสนุกดี,
Take coloring book with you,Взять раскраску с собой,เอาสมุดระบายสีไปด้วย,
Leave coloring book for Bubsy,Оставить раскраску Бабси,ทิ้งสมุดระบายสีไว้ให้บับซี่เล่น,
Diary,,ไดอารี,
Teddy,,เท็ดดี้,
Book,,หนังสือ,
MORGO,,มอร์โก,
"Hmm, maybe I could try to fix it...","Хмм, может я смогу её починить...",หืมม บางทีน่าจะลองซ่อมดู...,
[localvar:0],[localvar:0],[localvar:0],
I'm gonna do it.,Я сделаю это.,หนูจะซ่อมละนะ,
I'm doing it.,Я делаю это.,หนูจะต้องทำได้,
"I'm a little lady, you know?",Я же маленькая леди.,หนูโตเป็นสาวน้อยแล้วนะรู้มั้ย?,
I'm just gonna leave it there...,Я просто оставлю её здесь...,หนูว่าจะทิ้งไว้แบบนี้แหละ...,
"Look, that's me! Mommy told me I have to smile even when I'm sad.","Смотри, это я! Мама говорила, что я должна улыбаться, даже когда мне грустно.",ดูสิ นั่นหนูเอง! แม่บอกว่าหนูต้องยิ้มไว้ต่อให้จะรู้สึกเศร้าก็ตาม,
"This is Grandma. She wears a diaper, too.",Это бабушка. Она тоже носит подгузник.,นี่คุณยายเอง เธอก็ใส่ผ้าอ้อมเหมือนกันเลย,
You still wear a diaper?,Ты все ещё носишь подгузник?,แล้วหนูยังใส่ผ้าอ้อมมั้ย?,
"No, that was so last year.","Нет, это было лет сто назад. ",ไม่ล่ะ เลิกใส่ไปตั้งแต่ปีก่อนแล้ว,
"Oh please, don't fall, don't fall...","Прошу, не падай, не падай...",ตายล่ะ อย่าหล่นนะ อย่าหล่นนะ...,
Damn it! It's all broken now.,Проклятье! Она разбилась.,แม่งเอ๊ย! แตกหมดแล้วเนี่ย,
That was a beautiful example of cause and effect.,Это был прекрасный пример причины и следствия.,นั่นแหละตัวอย่างที่ดีของสิ่งที่เกิดขึ้นและผลที่ตามมา,
"Please, don't tell on me...","Пожалуйста, не выдавай меня...",ขอร้อง อย่าบอกใครนะว่าหนูทำ...,
"Don't worry, you can trust me.","Не волнуйся, ты можешь мне доверять.",ไม่ต้องห่วง ไว้ใจฉํนได้,
Ok. Thank you.,Хорошо. Спасибо.,โอเค ขอบคุณนะ,
Mommy likes to collect glasses...,Мама любит собирать бокалы...,แม่ชอบสะสมแก้ว...,
I broke a couple once by running too fast.\x0D,"Я разбила пару, когда бегала слишком быстро.\x0A",หนูเคยทำแตกไปทีนึงสองสามใบ พอดีวิ่งเร็วไปหน่อย\x0D,
Did Mommy find out who did it?,"Мама узнала, кто это сделал?",แล้วแม่รู้มั้ยว่าใครทำ?,
No! But I had a piece of glass in my foot for like five days!,Нет! Но в моей ноге целых пять дней был кусок стекла!,ไม่! แต่มีเศษแก้วติดเท้าหนูอยู่อย่างนั้นตั้งห้าวัน!,
My Daddy’s friend was a hunter and killed this moose...,"Друг моего папы был охотником, и он застрелил этого лося...",พ่อเพื่อนหนูเป็นนายพรานแล้วก็ฆ่ากวางมูสตัวนี้...,
"His daughter, Erica, she thought his gun was a toy...","Его дочь, Эрика, подумала, что пистолет был игрушкой...",ลูกสาวเขาชื่อเอริก้า เธอคิดว่าปืนพ่อเป็นของเล่น...,
"Then her parents died, and she was so sad...","Потом её родители умерли, ей было так грустно...",แล้วพ่อแม่ของเธอก็ตายหมด เธอเลยเศร้ามาก...,
She said ”bang bang” to her Mommy and Daddy...,Она сказала ”пиф-паф” своим маме и папе...,เธอเลย “ปัง ปัง” ใส่แม่กับพ่อของเธอ...,
Mommy said she married Daddy because she was expecting me.,"Мама сказала, что вышла замуж за папу, потому что она ждала меня.",แม่บอกว่าแม่แต่งงานกับพ่อเพราะว่าแม่ตั้งท้องมีหนู,
"She wanted to have an abortion, but it’s illegal and against the law.","Она хотела сделать аборт, но это нелегально и противоречит закону.",แม่อยากทำแท้งนะ แต่ว่ามันผิดกฎหมายแล้วก็ขัดต่อกฎหมายด้วย,
That's kind of the same thing...,Что по сути одно и то же...,มันก็เหมือนกันไม่ใช่หรอ,
Yes.,Да.,ช่าย,
I did it.,Я сделала это.,หนูทำได้,
Fix the broken vase,Починить разбитую вазу,ซ่อมแจกันแตก,
Leave it as it is,Оставить как есть,ทิ้งไว้แบบนั้น,
What to do about the broken vase?,Как поступить с разбитой вазой?,จะทำอย่างไรกับแจกันที่แตกดี?,
Shelf,,ชั้นวางของ,
Painting,,ภาพวาด,
Moose,,กวางมูส,
MORGO,,มอร์โก,
Broken vase,,แจกันแตก,
Painting,,ภาพวาด,
Kitchen,,ครัว,
DoorBack,DoorBack,DoorBack,
"Ugh, dead rabbits again?","Фу, снова мёртвые кролики?",แหยะ ศพกระต่ายอีกแล้ว?,
When will Daddy learn I like them alive?,"Когда уже папа поймёт, что они мне нравятся живыми?",เมื่อไหร่พ่อจะรู้ว่าหนูชอบกระต่ายแบบยังเป็นๆ นะ?,
"Mommy, this smells really bad, what is it?\x0D","Мама, какой ужасный запах, что это?\x0A",แม่ กลิ่นมันแย่มากเลย อะไรเนี่ย?\x0D,
"Dead animals, that's what it is!","Мёртвые животные, вот что это!",ซากสัตว์ยังไงล่ะ!,
Yikes forever!,"О, ужас!",ยี้ตลอดกาล!,
"Ugh, it smells like cigarettes in here.","Фу, здесь пахнет сигаретами.",เอ่อ เหมือนได้กลิ่นบุหรี่ในนี้เลย,
"Yeah, that's my Mommy!","Да, это моя мама!",ช่าย แม่หนูเอง!,
"Well, are you ready to complete your first mission?","Ну что ж, ты готова выполнить своё первое задание?",อ้อ แล้วพร้อมสำหรับภารกิจแรกของเธอรึยัง?,
"Yes, I am! I'm gonna get that prize!",Готова! И я намерена получить этот приз!,แน่นอน พร้อมแล้ว! หนูต้องได้รางวัลนั้นแน่!,
She also likes to drink juice a lot.,Ещё она очень любит пить сок.,แม่ชอบดื่มน้ำผลไม้มาก,
"Yay, happiness to the soup!","Ура, счастья супу!",เย้ ให้เจ้าซุปมีความสุข,
"I’m going out to play, Mommy!","Я пошла поиграть, мам!",หนูออกไปเล่นก่อนนะคะคุณแม่!,
[localvar:0],[localvar:0],[localvar:0],
"We go quiet, ok? Shh.","Уйдём по-тихому, хорошо? Тс-с-с.",เราจะออกไปกันเงียบๆ โอเคนะ? ชู่วว,
"When I grow up, I want to be just like my Mommy! A juice drinker.","Когда я вырасту, я хочу стать как моя мама! Такой же любительницей пить сок.",พอโตขึ้น หนูอยากเป็นเหมือนแม่นี่แหละ! เป็นนักดื่มน้ำผลไม้,
We had a lovely dinner last night.,У нас был чудесный ужин вчера.,เมื่อคืนเป็นมื้อเย็นที่ดีมากๆ,
Mommy wasn't that drunk and Daddy actually said “Hi” to me!,"Мама не была сильно пьяной, а папа сказал мне “Привет”!",แม่ไม่ได้เมาเท่าไหร่ ส่วนพ่อก็ทัก “ว่าไง” กับหนูด้วย!,
That's today!,Это сегодня!,วันนี้พอดีเลย!,
MORGO,,มอร์โก,
Tell Mommy you're leaving?,"Сказать маме, что ты уходишь?",บอกแม่ไหมว่าจะออกไป?,
Yes,Да,บอก,
No,Нет,ไม่บอก,
Dinner,,มื้อเย็น,
Leave home,,ออกจากบ้าน,
Fridge,,ตู้เย็น,
Mommy,,แม่,
Table,,โต๊ะ,
Almanac,,ปฏิทิน,
GoBack,GoBack,GoBack,
This is where Daddy often sleeps.,Здесь часто спит папа.,พ่อชอบหลับที่นี่บ่อยๆ,
Daddy...?,Папа...?,พ่อจ๋า...?,
I saw a monster!,Я видела монстра!,หนูเห็นปีศาจ!,
What monster? I didn't see anything!,Какого монстра? Я ничего не видел!,ปีศาจอะไรกัน? ฉันไม่เห็นอะไรเลย!,
"It was there, I saw it!","Он был там, я его видела!",มันอยู่ตรงนั้น หนูเห็นจริงๆ!,
It's probably just your imagination.,Может это просто твоё воображение.,อาจจะเป็นแค่จินตนาการของหนูก็ได้,
"Yeah, that's true... I have a very big one.","Да, это так... Оно у меня очень богатое.",เอ่อ ก็จริง... จินตนาการหนูยิ่งใหญ่มากนะ,
"Just keep going, we'll have so much fun!","Просто продолжай идти, нам будет так весело!",ไปต่อเถอะ เรายังมีอะไรสนุกๆ รออีกเพียบ!,
Alright...,Хорошо...,ก็ได้...,
"Hello kitty, here, come! Come, kitty!","Привет киса, сюда, иди! Иди, киса!",สวัสดีเจ้าเหมียว มานี่สิ! มาสิเจ้าเหมียว!,
Damn it! I never get to pet the sweet animals.,Проклятье! Мне никогда не удаётся погладить милых животных.,แม่งเอ๊ย! หนูไม่เคยได้เล่นกับสัตว์น่ารักๆ บ้างเลย,
"Kitty, don't go!","Киса, не уходи!",เจ้าเหมียว อย่าหนีสิ!,
"Kitty, kitty, kitty!","Кис, кис, кис!",เจ้าเหมียว เหมียวๆ เจ้าเหมียว!,
"Look, a sleepy bird...","Смотри, птичка спит...",ดูสิ นกง่วงนอน...,
"Come on, Misfortune, let's go now...","Давай же, Неудача, пойдём...",ไม่เอาน่ายัยตัวซวย ไปกันได้แล้ว...,
"This pool smells like a toilet, because I pee in it.","Этот бассейн пахнет туалетом, потому что я пописала в него.",สระนี่กลิ่นเหมือนส้วมเลย สงสัยเพราะหนูฉี่ใส่มั้ง,
That is disgusting.,Как отвратительно.,ขยะแขยงจริงๆ,
"Not as disgusting as when my Daddy puked in it, that was disgusting.","Не больше, чем когда моего папу туда вырвало, вот это было отвратительно.",ไม่น่าขยะแขยงเท่าตอนที่พ่ออ้วกลงสระหรอก นั่นสิขยะแขยงกว่า,
"Good day, morning!","Добрый день, утро!",สวัสดียามเช้า!,
"It's afternoon, Misfortune.","Сейчас полдень, Неудача.",นี่มันบ่ายแล้ว ยัยตัวซวย,
"Ah, ok. Good afternoon, morning!","А-а, хорошо. Доброго полудня, утро!",อ๋อ โอเค สวัสดีตอนบ่ายยามเช้า!,
Uh...,Эм...,โอย...,
*nervous laugh*,*нервный смешок*,*หัวเราะกลบเกลื่อน*,
This is where I saw a really cute fox.,Прямо здесь я видела очень милого лиса.,ตรงนี้ไงที่หนูเห็นเจ้าจิ้งจอกน่ารัก,
"I've seen him around the house, right outside my window...","Я видела его около дома, прямо за моим окном...",หนูเห็นเขาอยู่รอบบ้าน ตรงนอกหน้าต่างหนูพอดี...,
"Please, Misfortune, you should be careful around wild animals.","Пожалуйста, Неудача, будь осторожна с дикими животными.",ขอล่ะยัยตัวซวย เธอต้องระวังพวกสัตว์ป่ารอบๆ ด้วย,
What?! A fox criminal? That's silly.,Что?! Лис-преступник? Это глупо.,อะไรนะ?! จิ้งจอกวายร้าย? งี่เง่าน่า,
I think he's really cute...,Мне он кажется очень милым...,หนูคิดว่าเขาน่ารักจริงๆ นะ...,
Remember Benjamin the Fox?,"Помнишь Бенджамина, Лиса?",จำจิ้งจอกเบนจามินได้มั้ย?,
He was hiding in the trash and we made eye contact...,"Он прятался в мусоре, когда мы встретились взглядом...",เขาซ่อนตัวในถังขยะ แล้วเราก็ได้สบตากัน...,
It was really intense...,Было очень напряжённо...,มันตื่นเต้นมากๆ...,
"Yes, you told me about that fox already.","Да, ты уже говорила мне об этом лисе.",จำได้ หนูบอกเรื่องไอ้จิ้งจอกนี่ไปแล้ว,
"You shouldn't trust a fox, they are all criminals.","Лисам нельзя доверять, они все преступники.",หนูอย่าไว้ใจจิ้งจอกสิ มันเป็นพวกวายร้ายทั้งนั้น,
This is where I first saw him.,Здесь я его впервые увидела.,หนูเห็นเขาครั้งแรกที่นี่,
