ID,EN,RUS,TH,TH 2186/2772 (78.86%)
114,I choose my soft and beautiful unicorn!,Я выбираю своего мягкого и красивого единорога!,หนูเลือกยูนิคอร์นตัวนิ่มแสนสวยดีกว่า!,
115,I choose the stone Daddy threw at me once!,"Я выбираю камень, который папа однажды в меня бросил!",หนูเลือกหินก้อนที่พ่อเคยใช้ขว้างใส่หนูนี่แหละ!,
116,Interesting choice...,Интересный выбор...,น่าสนใจดีนี่...,
117,Perfect! You can never go wrong with a magical unicorn.,Отлично! С волшебным единорогом невозможно ошибиться.,เยี่ยม! เลือกยูนิคอร์นวิเศษไม่มีทางผิดหวังหรอก,
119,"Hey you, on the other side of the screen...","Эй, ты, по другую сторону экрана...",เฮ้ คุณน่ะ ที่อยู่อีกฝั่งของหน้าจอ...,
120,Remember I told you she was going to die today?,"Помнишь, я сказал тебе, что она умрет сегодня?",จำที่บอกได้มั้ยว่าเธอจะตายวันนี้?,
1218,"Oh, and so you know, I like to sprinkle sparkle on things, so they become fabulous!","О, и чтобы ты знал, я люблю сыпать блёстки на вещи, чтобы они стали потрясающими!",รู้อะไรมั้ย หนูชอบโปรยกากเพชรใส่สิ่งต่างๆ มันทำให้ดูวิบวับขึ้น!,
2631,Can’t I take them both?,Могу я взять обе?,หนูเอาไปทั้งคู่ไม่ได้หรอ?,
2632,No! You can only choose one.,Нет! Выбери только одну.,ไม่! หนูเลือกได้แค่ชิ้นเดียว,
2633,Ok... I choose...,Ладно... Я выбираю...,ก็ได้... งั้นหนูเลือก...,
2634,"I know, right?!",Я знаю!,แน่นอนอยู่แล้ว ใช่มั้ยล่ะ?,
2635,"Yeah, I call him Stony...","Ага, я назвала его Стоуни...",ช่าย หนูตั้งชื่อให้ว่าเจ้าหินก้อน...,
2636,"Stony the Stone, that’s very clever.","Камень по имени Стоуни, это очень умно.",เจ้าหินก้อนที่เป็นก้อนหิน ฉลาดมากๆ,
2637,Thank you.,Спасибо.,ขอบคุณนะ,
3819,"Let's keep that a secret between us, alright?","Давай сохраним это между нами в секрете, хорошо?",เก็บไว้เป็นความลับระหว่างเรานะ เข้าใจมั้ย?,
4366,And remember...,И помни...,แล้วก็จำไว้ว่า...,
4367,Your choice is much more important than you think.,"Твой выбор гораздо более важен, чем ты думаешь.",สิ่งที่เลือกมันสำคัญกับเธอมากกว่าที่คิด,
4368,Because he’s a stone. Get it?,"Потому что он стоун, камень. Понял?",เพราะมันเป็นก้อนหินไง เข้าใจมั้ย?,
125,I like to move my body. Mm-hm.,Я люблю двигать телом. Мм-хм.,หนูชอบเต้นล่ะ,
3820,It’s the music that goes on forever.,Эта музыка звучит вечно.,มันเป็นเพลงที่เล่นไปเรื่อยๆ ตลอดกาล,
1219,"Look, I drew this picture.","Смотри, я нарисовала рисунок.",ดูสิ หนูวาดรูปนี้เอง,
1220,I call him Benjamin.,Я зову его Бенджамин.,หนูเรียกเขาว่าเบนจามิน,
1221,He's a really cute fox...,Он очень милый лис...,เขาเป็นจิ้งจอกที่น่ารักจริงๆ...,
1223,"Ugh, I don't care much for foxes.","Фу, меня мало интересуют лисы.",เอ่อ ฉันไม่ค่อยสนใจพวกจิ้งจอกเท่าไหร่,
3821,It's the fox I see outside my window sometimes.,Иногда я вижу этого лиса за окном.,มันคือจิ้งจอกที่หนูเห็นนอกหน้าต่างในบางครั้ง,
126,"Look, I made these paper dolls myself.","Смотри, я сама сделала эти бумажные куклы.",ดูสิ หนูทำตุ๊กตากระดาษพวกนี้เองแหละ,
1224,This is Kimberley and this is Steven.,"Это Кимберли, а это Стивен.",นี่คือคิมเบอร์ลี่ และนี่ก็สตีเว่น,
1225,"They are on a trip, fighting super evils.",Они путешествуют и сражаются с суперзлодеями.,พวกเขากำลังเดินทางไปสู้กับสุดยอดวายร้าย,
3532,My glitter.,Мои блёстки.,กากเพชรของฉัน,
128,I saw a monster in here once...,Однажды я видела здесь монстра...,หนูเคยเห็นปีศาจในนี้ครั้งนึง...,
3823,I showed it the finger and it never came back.,"Я показала ему палец, и он больше никогда не возвращался.",หนูชูนิ้วใส่มัน แล้วก็ไม่เห็นมันกลับมาอีกเลย,
129,This is Misfortune.,Это Неудача.,นี่คือยัยตัวซวย,
130,"I can hear you, you know...","Знаешь, я тебя слышу...",หนูได้ยินนะ...,
131,"Oh, you can...?","Оу, ты слышишь...?",โอ้ ได้ยินเหรอ...?,
132,"Wonderful, fantastic!","Замечательно, потрясающе!",ยอดเยี่ยม น่าทึ่งจริงๆ !,
133,She's a wonderful child from a not so wonderful family.,Она замечательный ребёнок из не очень замечательной семьи.,เธอเป็นเด็กที่ยอดเยี่ยม จากครอบครัวที่ไม่ค่อยเยี่ยมยอดนัก,
134,Hmm... Well...,Хмм... Ну...,อืม... ก็...,
135,Yes!,Да!,ค่ะ!,
139,Die? No! Nobody said anything about anyone dying today.,"Умрёшь? Нет! Никто не говорил, что сегодня кто-то умрёт.",ตาย? เปล่า! ไม่มีใครพูดว่าจะมีใครตายในวันนี้ซักหน่อย,
140,Mm-hm. Are you inside my head or something?,Мм-хм. Ты в моей голове или что?,อือฮึ คุณอยู่ในหัวหนูหรืออะไรซักอย่างใช่มั้ย?,
141,"Alright, I'll call you Mr. Voice.","Хорошо, я буду звать тебя Мистер Голос.",เอาล่ะ งั้นหนูจะเรียกคุณว่าคุณวอยซ์ละกัน,
143,"You know, I have prepared a game for you.","Знаешь, я приготовил для тебя игру.",รู้ไหม ฉันได้เตรียมเกมไว้ให้เธอด้วย,
144,*mumbles*,*бормочет*,*พึมพำ*,
146,Aww...,Ооу...,งู้ยย...,
147,A game? Really? For me?,Игру? Правда? Для меня?,เกม? จริงเหรอ? ให้หนูเหรอ?,
767,"A little sparkle for you, and a little sparkle for you, and a little bit for me!","Немного блёсток для вас, немного блёсток для тебя, и немного - для меня!",เอาความวิบวับไปอีกนิด เอาความวิบวับไปอีกหน่อย และอีกเล็กน้อยก็ให้ฉัน!,
3824,The sad part is...,"Печально то, что...",ที่น่าเศร้าก็คือ...,
3825,Today is the day she will die.,"Сегодня день, когда она умрет.",วันนี้เป็นวันที่เธอจะตาย,
3826,Ready to play?,Готова сыграть?,พร้อมจะเล่นหรือยัง?,
3827,Eternal Happiness?,Вечное Счастье?,ความสุขนิรันดร์?,
3828,Ok. I'm gonna do it.,Хорошо. Я сделаю это.,ได้เลยค่ะ จัดไป,
4369,"Ok, yes!","Ну хорошо, да!",โอเค ได้!,
4370,What did you say about me dying today?,"Что ты там говорил про то, что я сегодня умру?",คุณพูดว่าหนูจะตายวันนี้งั้นเหรอ?,
4371,Huh? Nobody said nothing?,Правда? Никто ничего не говорил?,หือ? ไม่มีใครพูดอะไรเลยนี่?,
4372,"If you can reach the end of the game, I'll give you Eternal Happiness...","Если ты сможешь дойти до конца игры, я дарую тебе Вечное Счастье...",ถ้าเธอสามารถไปถึงตอนจบของเกมได้ ฉันจะมอบความสุขนิรันดร์ให้เธอ...,
4373,Deal?,По рукам?,ตกลงไหม?,
4374,I guess I could give that to my Mommy...,"Пожалуй, я могла бы отдать его своей маме...",หนูว่าน่าจะเอาความสุขไปแบ่งให้คุณแม่ได้นะ...,
4375,"Ok, it's a deal!","Хорошо, по рукам!",โอเคค่ะ หนูตกลง!,
4376,Your first mission is to leave the house.,Твое первое задание - покинуть дом.,ภารกิจแรกของเธอ คือการออกจากบ้าน,
2588,Which toy to bring with you?,Какую игрушку взять с собой?,เธอจะเอาของเล่นอะไรติดตัวไปดีล่ะ?,
4824,FOX,FOX,จิ้งจอก,
158,Unicorn,Единорог,ยูนิคอร์น,
159,Stone,Камень,ก้อนหิน,
152,Paper dolls,,ตุ๊กตากระดาษ,
3533,Pick up bottle of glitter,,เก็บขวดกากเพชร,
1226,Poster of Benjamin,,โปสเตอร์เบนจามิน,
304,Foxy,,จิ้งจอกฟ็อกซี่,
150,Secret spot,,ที่ซ่อนลับ,
148,Cassette Player OFF,,เครื่องเล่นเทป ปิด,
151,Door,,ประตู,
149,Wardrobe,,ตู้เสื้อผ้า,
4790,Cassette Player,Cassette Player,เครื่องเล่นเทป,
4648,MORGO,,มอร์โก,
2640,"This is Bubsy, “The Guardian of the Secret Spot”.","Это Бабси, ”Страж Тайного Места”.",นี่คือบับซี่ “ผู้พิทักษ์แห่งที่ซ่อนลับ”,
2641,You see his eye? He got that from a battle against a monster.,"Видишь его глаз? Он получил это, сражаясь с монстром.",เห็นตาเขามั้ย? มันเกิดจากการต่อสู้กับสัตว์ประหลาด,
2642,A monster? That sounds scary!,Монстром? Звучит страшно!,สัตว์ประหลาด? ฟังดูน่ากลัวจัง!,
2643,It was.,Так и было.,ใช่แล้ว,
2644,This is my diary. Nobody is allowed to read it. Want to see?,Это мой дневник. Никому нельзя его читать. Хочешь посмотреть?,นี่คือไดอารี่ของหนู หนูไม่เคยให้ใครอ่าน อยากเห็นมั้ย?,
675,"Look, this is my secret hiding spot!","Смотри, это моё тайное убежище!",ดูสิ นี่เป็นที่ซ่อนลับของหนู,
676,Oh! Impressive! But why do you need a hiding spot?,Впечатляет! Но зачем тебе тайное убежище?,โอ้! น่าประทับใจ! แต่ทำไมเธอถึงต้องมีที่ซ่อนลับล่ะ?,
962,I don’t like it when Mommy and Daddy argue too much…,"Мне не нравится, когда мама с папой сильно ругаются...",หนูไม่ชอบตอนที่พ่อกับแม่ทะเลาะกัน...,
963,"And when I come here, I can dream and travel far away.","Поэтому я прихожу сюда, и мечтаю о дальних-предальних странствиях.",และพอหนูมาอยู่ที่นี่ หนูจะได้ฝันถึงการเดินทางอันแสนไกล,
964,I see...,Ясно...,อย่างงี้เอง...,
965,*nervous laugh*,*нервный смешок*,*หัวเราะกลบเกลื่อน*,
4301,I'm so cute.,Я такая милашка.,หนูน่ารักจัง,
3641,"That's Hiro, my Japanese friend.","Это Хиро, мой японский друг.",นั่นฮิโระ เพื่อนคนญี่ปุ่นของฉันเอง,
3635,Benjamin...,Бенджамин...,เบนจามิน,
3636,Uh... That fox.,Ох... Этот лис.,เหอะ... จิ้งจอกนั่น,
3637,Yes.,Да.,ช่าย,
3638,Hmph... Yikes forever...,Хмм... Да уж...,ฮึ่ม... ยี้ตลอดกาล...,
3639,The puke of love... That's what it is.\x0D,Рвота любви... Вот что это.\x0A,อุแหวะแห่งรัก... ยังไงล่ะ\x0D,
3640,I don't like it when Daddy hits Mommy.,"Мне не нравится, когда папа бьёт маму.",หนูไม่ชอบเลยตอนที่พ่อตบตีแม่,
3642,Glitter. I love my glitter.,Блёстки. Мне нравятся мои блёстки.,กากเพชร หนูชอบกากเพชรของหนู,
3643,"I made a real nice drawing there, you see?","Я нарисовала красивый рисунок, видишь?",หนูวาดรูปตรงนี้ซะสวยเลย เห็นมั้ย?,
3644,"Yes, very nice!","Да, очень мило!",เห็นจ๊ะ สวยมาก!,
3645,I did the coloring too.,Я его ещё и раскрасила.,หนูลงสีเองด้วยเหมือนกัน,
3646,Impressive!,Потрясающе!,เก่งจังเลย!,
3647,I peed in the lake. It was really warm.,Я пописала в озеро. Стало очень тепло.,หนูเคยฉี่ในทะเลสาบ มันอุ่นมากเลย,
3648,"Huh, look at that picture. I was such a baby.","Ха, взгляни на это фото. Я была таким ребёнком",เห ดูรูปนั้นสิ หนูยังเป็นเด็กน้อยอยู่เลย,
3649,Very cute.,Очень мило.,น่ารักดีนะ,
3650,Now I'm a such a lady.,Теперь я такая леди.,ตอนนี้หนูเป็นสาวแล้ว,
3651,"I'm a little lady, that's what I am.","Я - маленькая леди, вот кто я.",หนูเป็นสาวน้อยแล้วนะ หนูโตแล้วแหละ,
4218,He's a ghost.,Он - призрак.,เขาเป็นผี,
4302,Did you draw all this?,Это все ты нарисовала?,เธอวาดเองทั้งหมดเลยเหรอ?,
4303,Uh-huh.,Ага.,อือฮึ,
3534,I love my coloring book.,Я люблю свою раскраску.,หนูชอบสมุดระบายสีมาก,
3653,"I'm gonna take it with me if I get bored, ok?","Я возьму её, на случай если мне станет скучно, хорошо?",หนูจะเอาไปด้วยเผื่อตอนที่หนูเบื่อๆ ได้มั้ย?,
3654,"Nah. I'll just leave it here. For Bubsy, you know? The teddy.","Не, оставлю её здесь. Для Бабси, ну ты понимаешь? Медвежонка.",ไม่ล่ะ หนูทิ้งเอาไว้ที่นี่ดีกว่า ไว้ให้บับซี่ จำได้มั้ย? ตุ๊กตาหมีน่ะ,
3657,What to do with the coloring book?,Как поступить с раскраской?,ทำอย่างไรกับสมุดระบายสีเล่มนี้ดี?,
4779,I like to play a lot with my toys. I like to talk to them because it's fun.,"Я очень люблю играть со своими игрушками. Мне нравится с ними разговаривать, потому что это весело. ",ฉันชอบเล่นกับของเล่นของฉันมาก ฉันชอบคุยกับพวกเขาเพราะมันสนุกดี,
3655,Take coloring book with you,Взять раскраску с собой,เอาสมุดระบายสีไปด้วย,
3656,Leave coloring book for Bubsy,Оставить раскраску Бабси,ทิ้งสมุดระบายสีไว้ให้บับซี่เล่น,
2646,Diary,,ไดอารี,
2645,Teddy,,เท็ดดี้,
3535,Book,,หนังสือ,
1207,MORGO,,มอร์โก,
3659,"Hmm, maybe I could try to fix it...","Хмм, может я смогу её починить...",หืมม บางทีน่าจะลองซ่อมดู...,
3658,I'm gonna do it.,Я сделаю это.,หนูจะซ่อมละนะ,
3660,I'm doing it.,Я делаю это.,หนูจะต้องทำได้,
3662,"I'm a little lady, you know?",Я же маленькая леди.,หนูโตเป็นสาวน้อยแล้วนะรู้มั้ย?,
4304,I'm just gonna leave it there...,Я просто оставлю её здесь...,หนูว่าจะทิ้งไว้แบบนี้แหละ...,
160,"Look, that's me! Mommy told me I have to smile even when I'm sad.","Смотри, это я! Мама говорила, что я должна улыбаться, даже когда мне грустно.",ดูสิ นั่นหนูเอง! แม่บอกว่าหนูต้องยิ้มไว้ต่อให้จะรู้สึกเศร้าก็ตาม,
161,"This is Grandma. She wears a diaper, too.",Это бабушка. Она тоже носит подгузник.,นี่คุณยายเอง เธอก็ใส่ผ้าอ้อมเหมือนกันเลย,
162,You still wear a diaper?,Ты все ещё носишь подгузник?,แล้วหนูยังใส่ผ้าอ้อมมั้ย?,
163,"No, that was so last year.","Нет, это было лет сто назад. ",ไม่ล่ะ เลิกใส่ไปตั้งแต่ปีก่อนแล้ว,
164,"Oh please, don't fall, don't fall...","Прошу, не падай, не падай...",ตายล่ะ อย่าหล่นนะ อย่าหล่นนะ...,
165,Damn it! It's all broken now.,Проклятье! Она разбилась.,แม่งเอ๊ย! แตกหมดแล้วเนี่ย,
166,That was a beautiful example of cause and effect.,Это был прекрасный пример причины и следствия.,นั่นแหละตัวอย่างที่ดีของสิ่งที่เกิดขึ้นและผลที่ตามมา,
167,"Please, don't tell on me...","Пожалуйста, не выдавай меня...",ขอร้อง อย่าบอกใครนะว่าหนูทำ...,
168,"Don't worry, you can trust me.","Не волнуйся, ты можешь мне доверять.",ไม่ต้องห่วง ไว้ใจฉํนได้,
169,Ok. Thank you.,Хорошо. Спасибо.,โอเค ขอบคุณนะ,
1227,Mommy likes to collect glasses...,Мама любит собирать бокалы...,แม่ชอบสะสมแก้ว...,
1228,I broke a couple once by running too fast.\x0D,"Я разбила пару, когда бегала слишком быстро.\x0A",หนูเคยทำแตกไปทีนึงสองสามใบ พอดีวิ่งเร็วไปหน่อย\x0D,
1229,Did Mommy find out who did it?,"Мама узнала, кто это сделал?",แล้วแม่รู้มั้ยว่าใครทำ?,
1230,No! But I had a piece of glass in my foot for like five days!,Нет! Но в моей ноге целых пять дней был кусок стекла!,ไม่! แต่มีเศษแก้วติดเท้าหนูอยู่อย่างนั้นตั้งห้าวัน!,
170,My Daddy’s friend was a hunter and killed this moose...,"Друг моего папы был охотником, и он застрелил этого лося...",พ่อเพื่อนหนูเป็นนายพรานแล้วก็ฆ่ากวางมูสตัวนี้...,
171,"His daughter, Erica, she thought his gun was a toy...","Его дочь, Эрика, подумала, что пистолет был игрушкой...",ลูกสาวเขาชื่อเอริก้า เธอคิดว่าปืนพ่อเป็นของเล่น...,
172,"Then her parents died, and she was so sad...","Потом её родители умерли, ей было так грустно...",แล้วพ่อแม่ของเธอก็ตายหมด เธอเลยเศร้ามาก...,
4216,She said ”bang bang” to her Mommy and Daddy...,Она сказала ”пиф-паф” своим маме и папе...,เธอเลย “ปัง ปัง” ใส่แม่กับพ่อของเธอ...,
173,Mommy said she married Daddy because she was expecting me.,"Мама сказала, что вышла замуж за папу, потому что она ждала меня.",แม่บอกว่าแม่แต่งงานกับพ่อเพราะว่าแม่ตั้งท้องมีหนู,
174,"She wanted to have an abortion, but it’s illegal and against the law.","Она хотела сделать аборт, но это нелегально и противоречит закону.",แม่อยากทำแท้งนะ แต่ว่ามันผิดกฎหมายแล้วก็ขัดต่อกฎหมายด้วย,
4377,That's kind of the same thing...,Что по сути одно и то же...,มันก็เหมือนกันไม่ใช่หรอ,
4378,Yes.,Да.,ช่าย,
4818,I did it.,Я сделала это.,หนูทำได้,
3537,Fix the broken vase,Починить разбитую вазу,ซ่อมแจกันแตก,
3538,Leave it as it is,Оставить как есть,ทิ้งไว้แบบนั้น,
3539,What to do about the broken vase?,Как поступить с разбитой вазой?,จะทำอย่างไรกับแจกันที่แตกดี?,
179,Shelf,,ชั้นวางของ,
178,Painting,,ภาพวาด,
1208,Painting,,ภาพวาด,
177,Moose,,กวางมูส,
691,MORGO,,มอร์โก,
3536,Broken vase,,แจกันแตก,
176,Painting,,ภาพวาด,
175,Kitchen,,ครัว,
4780,DoorBack,DoorBack,DoorBack,
180,"Ugh, dead rabbits again?","Фу, снова мёртвые кролики?",แหยะ ศพกระต่ายอีกแล้ว?,
3895,When will Daddy learn I like them alive?,"Когда уже папа поймёт, что они мне нравятся живыми?",เมื่อไหร่พ่อจะรู้ว่าหนูชอบกระต่ายแบบยังเป็นๆ นะ?,
182,"Mommy, this smells really bad, what is it?\x0D","Мама, какой ужасный запах, что это?\x0A",แม่ กลิ่นมันแย่มากเลย อะไรเนี่ย?\x0D,
183,"Dead animals, that's what it is!","Мёртвые животные, вот что это!",ซากสัตว์ยังไงล่ะ!,
689,Yikes forever!,"О, ужас!",ยี้ตลอดกาล!,
185,"Ugh, it smells like cigarettes in here.","Фу, здесь пахнет сигаретами.",เอ่อ เหมือนได้กลิ่นบุหรี่ในนี้เลย,
186,"Yeah, that's my Mommy!","Да, это моя мама!",ช่าย แม่หนูเอง!,
187,"Well, are you ready to complete your first mission?","Ну что ж, ты готова выполнить своё первое задание?",อ้อ แล้วพร้อมสำหรับภารกิจแรกของเธอรึยัง?,
188,"Yes, I am! I'm gonna get that prize!",Готова! И я намерена получить этот приз!,แน่นอน พร้อมแล้ว! หนูต้องได้รางวัลนั้นแน่!,
3896,She also likes to drink juice a lot.,Ещё она очень любит пить сок.,แม่ชอบดื่มน้ำผลไม้มาก,
191,"Yay, happiness to the soup!","Ура, счастья супу!",เย้ ให้เจ้าซุปมีความสุข,
189,"I’m going out to play, Mommy!","Я пошла поиграть, мам!",หนูออกไปเล่นก่อนนะคะคุณแม่!,
3725,"We go quiet, ok? Shh.","Уйдём по-тихому, хорошо? Тс-с-с.",เราจะออกไปกันเงียบๆ โอเคนะ? ชู่วว,
190,"When I grow up, I want to be just like my Mommy! A juice drinker.","Когда я вырасту, я хочу стать как моя мама! Такой же любительницей пить сок.",พอโตขึ้น หนูอยากเป็นเหมือนแม่นี่แหละ! เป็นนักดื่มน้ำผลไม้,
192,We had a lovely dinner last night.,У нас был чудесный ужин вчера.,เมื่อคืนเป็นมื้อเย็นที่ดีมากๆ,
3897,Mommy wasn't that drunk and Daddy actually said “Hi” to me!,"Мама не была сильно пьяной, а папа сказал мне “Привет”!",แม่ไม่ได้เมาเท่าไหร่ ส่วนพ่อก็ทัก “ว่าไง” กับหนูด้วย!,
193,That's today!,Это сегодня!,วันนี้พอดีเลย!,
692,MORGO,,มอร์โก,
3542,Tell Mommy you're leaving?,"Сказать маме, что ты уходишь?",บอกแม่ไหมว่าจะออกไป?,
3540,Yes,Да,อือฮึ,
3541,No,Нет,ไม่,
197,Dinner,,มื้อเย็น,
195,Leave home,,ออกจากบ้าน,
199,Fridge,,ตู้เย็น,
198,Mommy,,แม่,
194,Table,,โต๊ะ,
196,Almanac,,ปฏิทิน,
4781,GoBack,GoBack,GoBack,
201,This is where Daddy often sleeps.,Здесь часто спит папа.,พ่อชอบหลับที่นี่บ่อยๆ,
202,Daddy...?,Папа...?,พ่อจ๋า...?,
203,I saw a monster!,Я видела монстра!,หนูเห็นปีศาจ!,
204,What monster? I didn't see anything!,Какого монстра? Я ничего не видел!,ปีศาจอะไรกัน? ฉันไม่เห็นอะไรเลย!,
205,"It was there, I saw it!","Он был там, я его видела!",มันอยู่ตรงนั้น หนูเห็นจริงๆ!,
206,It's probably just your imagination.,Может это просто твоё воображение.,อาจจะเป็นแค่จินตนาการของหนูก็ได้,
207,"Yeah, that's true... I have a very big one.","Да, это так... Оно у меня очень богатое.",เอ่อ ก็จริง... จินตนาการหนูยิ่งใหญ่มากนะ,
208,"Just keep going, we'll have so much fun!","Просто продолжай идти, нам будет так весело!",ไปต่อเถอะ เรายังมีอะไรสนุกๆ รออีกเพียบ!,
209,Alright...,Хорошо...,ก็ได้...,
210,"Hello kitty, here, come! Come, kitty!","Привет киса, сюда, иди! Иди, киса!",สวัสดีเจ้าเหมียว มานี่สิ! มาสิเจ้าเหมียว!,
211,Damn it! I never get to pet the sweet animals.,Проклятье! Мне никогда не удаётся погладить милых животных.,แม่งเอ๊ย! หนูไม่เคยได้เล่นกับสัตว์น่ารักๆ บ้างเลย,
212,"Kitty, don't go!","Киса, не уходи!",เจ้าเหมียว อย่าหนีสิ!,
3898,"Kitty, kitty, kitty!","Кис, кис, кис!",เจ้าเหมียว เหมียวๆ เจ้าเหมียว!,
2649,"Look, a sleepy bird...","Смотри, птичка спит...",ดูสิ นกง่วงนอน...,
2650,"Come on, Misfortune, let's go now...","Давай же, Неудача, пойдём...",ไม่เอาน่ายัยตัวซวย ไปกันได้แล้ว...,
213,"This pool smells like a toilet, because I pee in it.","Этот бассейн пахнет туалетом, потому что я пописала в него.",สระนี่กลิ่นเหมือนส้วมเลย สงสัยเพราะหนูฉี่ใส่มั้ง,
214,That is disgusting.,Как отвратительно.,ขยะแขยงจริงๆ,
215,"Not as disgusting as when my Daddy puked in it, that was disgusting.","Не больше, чем когда моего папу туда вырвало, вот это было отвратительно.",ไม่น่าขยะแขยงเท่าตอนที่พ่ออ้วกลงสระหรอก นั่นสิขยะแขยงกว่า,
216,"Good day, morning!","Добрый день, утро!",สวัสดียามเช้า!,
2652,"It's afternoon, Misfortune.","Сейчас полдень, Неудача.",นี่มันบ่ายแล้ว ยัยตัวซวย,
2653,"Ah, ok. Good afternoon, morning!","А-а, хорошо. Доброго полудня, утро!",อ๋อ โอเค สวัสดีตอนบ่ายยามเช้า!,
2654,Uh...,Эм...,โอย...,
2655,*nervous laugh*,*нервный смешок*,*หัวเราะกลบเกลื่อน*,
217,This is where I saw a really cute fox.,Прямо здесь я видела очень милого лиса.,ตรงนี้ไงที่หนูเห็นเจ้าจิ้งจอกน่ารัก,
218,"I've seen him around the house, right outside my window...","Я видела его около дома, прямо за моим окном...",หนูเห็นเขาอยู่รอบบ้าน ตรงนอกหน้าต่างหนูพอดี...,
